Type;ESRP-3;
Version;3.46 SP1;
Date;13.Jul 21;
Mode;ANALYZER;
Center Freq;42426406.871193;Hz
Freq Offset;0.000000;Hz
Span;191000000.000000;Hz
x-Axis;LOG;
Start;9000000.000000;Hz
Stop;200000000.000000;Hz
Ref Level;106.000000;dBµV
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.020000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 4:;;
x-Unit;Hz;
y-Unit;dBµV;
Preamplifier;OFF;
Transducer;OFF;
Values;8001;
9000000;71.179901123046875;71.179901123046875
9003489.4056548402;71.34197998046875;71.34197998046875
9006980.1641932148;71.501091003417969;71.501091003417969
9010472.2761396542;71.657341003417969;71.657341003417969
9013965.7420188915;71.810836791992188;71.810836791992188
9017460.5623558611;71.961654663085938;71.961654663085938
9020956.7376757022;72.109909057617187;72.109909057617187
9024454.2685037591;72.259864807128906;72.259864807128906
9027953.155365577;72.407829284667969;72.407829284667969
9031453.3987869043;72.553314208984375;72.553314208984375
9034954.999293698;72.6964111328125;72.6964111328125
9038457.9574121162;72.837173461914062;72.837173461914062
9041962.2736685164;72.975700378417969;72.975700378417969
9045467.9485894702;73.124237060546875;73.124237060546875
9048974.9827017467;73.273941040039063;73.273941040039063
9052483.3765323162;73.421096801757813;73.421096801757813
9055993.1306083612;73.565803527832031;73.565803527832031
9059504.2454572655;73.708145141601563;73.708145141601563
9063016.7216066141;73.848182678222656;73.848182678222656
9066530.5595842004;73.992538452148438;73.992538452148438
9070045.759918021;74.13800048828125;74.13800048828125
9073562.3231362775;74.281082153320313;74.281082153320313
9077080.2497673761;74.421829223632812;74.421829223632812
9080599.5403399281;74.560340881347656;74.560340881347656
9084120.1953827497;74.696670532226562;74.696670532226562
9087642.2154248618;74.836990356445313;74.836990356445313
9091165.6009954885;74.980331420898438;74.980331420898438
9094690.3526240662;75.121353149414063;75.121353149414063
9098216.4708402287;75.260116577148438;75.260116577148438
9101743.9561738167;75.396705627441406;75.396705627441406
9105272.8091548812;75.531173706054688;75.531173706054688
9108803.0303136706;75.668991088867188;75.668991088867188
9112334.6201806478;75.8121337890625;75.8121337890625
9115867.5792864766;75.952964782714844;75.952964782714844
9119401.9081620239;76.091545104980469;76.091545104980469
9122937.607338367;76.227951049804688;76.227951049804688
9126474.6773467883;76.36224365234375;76.36224365234375
9130013.118718775;76.49609375;76.49609375
9133552.9319860209;76.631637573242188;76.631637573242188
9137094.1176804267;76.765098571777344;76.765098571777344
9140636.676334098;76.896537780761719;76.896537780761719
9144180.6084793434;77.026016235351563;77.026016235351563
